docID,namaBarang,desc,harga
10,samsung galaxy j3 pro j3119 2 16 gold ,samsung galaxy j3119 pro warna gold network technology gsm cdma hspa evdo 2g bands gsm 850 900 1800 1900 sim 1 amp sim 2 dual sim model only cdma 800 j3119 3g bands hsdpa 850 900 1900 2100 j3119 cdma2000 1xev do j3119 speed hspa 42 2 5 76 mbps lte cat4 150 50 mbps gprs yes edge yes launch announced 2016 june status available released 2016 june body mensions 142 2 x 71 3 x 8 mm 5 60 x 2 81 x 0 31 in weight 139 g 4 90 oz sim single sim micro sim or dual sim micro sim dual stand by display type super amoled capacitive touchscreen 16m colors size 5 0 inches 68 0 screen to body ratio resolution 720 x 1280 pixels 294 ppi pixel density multitouch yes platform os android os v5 1 lollipop chipset qualcomm msm8916 snapdragon 410 cpu quad core 1 2 ghz cortex a53 gpu adreno 306 memory card slot microsd up to 256 gb dedicated slot internal 16 gb 2 gb ram camera primary 8 mp f 2 2 autofocus led flash features geo tagging touch focus face detection hdr video 1080p 30fps secondary 5 mp f 2 2 sound alert types vibration mp3 wav ringtones loudspeaker yes 3 5mm jack yes comms wlan wi fi 802 11 b g n wi fi direct hotspot bluetooth v4 1 a2dp gps yes with a gps glonass bds region dependent nfc yes radio fm radio rds recording usb microusb v2 0 usb on the go features sensors accelerometer proximity ssaging sms threaded view mms email push mail im browser html5 java no mp4 h 264 player mp3 wav eaac flac player photo video editor document viewer battery removable li ion 2600 mah battery ,Rp  1370000
11,sarung ume samsung galaxy v plus sm g318 ,sarung ume samsung galaxy v plus sm g318 jgs ,Rp  22500
12,samsung galaxy j2 prime garansi resmi ,samsung galaxy j2 prime warna black and gold garansi resmi samsung indonesia ,Rp  1619000
13,samsung galaxy j1 ace ve j111 j1 ace 2016 ,warna blue and white new j1 ace ve 2016 j111 ram 1gb rom 8gb garansi resmi samsung indonesia ,Rp  1189000
14,fast charge wireless charger stand samsung galaxy note 5 s6 s7 edge oem ,photo by redangus designed by samsung original segel sein garansi 30 hari barang rusak human error barang retur batas waktu untuk retur 30hari ongkos tanggung beli barang terima sesua foto embali uang fast charge wireless charger stand samsung galaxy note 5 s6 s7 edge oem ngecas guna kabel cukup taruh hp atas wireless charger otomatis ngecas simple praktis sedia warna putih hitam compatibility galaxy s7 galaxy s7 edge galaxy s6 edge galaxy s6 galaxy s6 edge galaxy note5 features fast charging for ultimate enjoyment ultimate viewing experience preferred viewing fast charging for ultimate enjoyment thanks to its faster charging capabilities youll have all the power you need to stay focused on what youre doing at all times ultimate viewing experience provides an elevated base to enable landscape and portrait modes and view incoming notifications while charging preferred viewing watch whatever you choose however you like built in dual standing mode provides vertical and horizontal viewing options for your favourite multimedia including movies and videos redangus jual barang kualitas baik original puas langgan komitmen ,Rp  245000
15,samsung galaxy mega s view cover white ,samsung galaxy mega s view cover putih ,Rp  20000
16,samsung galaxy note 4 fullset murah ,dealer stributor jual baik amp laris bukalapak samsung galaxy note 4 lte sm 910s charcoal black frosted white ex international rekon refurb original 100000 no kawe2 no minus lengkap fullset original yaa no oem oem an ori fast charger kondisi oke 95 lecet akai wajar support 4g lte indo kamera jernih mantap ram 3gb internal 32gb speck gahar cek google gan mantap harga murah bukalapak gan jual untung gan ,Rp  2900000
17,samsung galaxy mega 2 resmi ,ready putih hitam samsung galaxy mega 2 sm g750h garansi resmi sein 1 tahun produk kirim kondisi baru segel dus bnib ram 1 5gb internal 8gb kamera 8mp 5mp quad core 1 2 ghz android v4 4 4 kitkat jaring 3g batera 2800 mah ,Rp  1550000
18,samsung galaxy j5 ,lte cat4 1 2ghz quad core 126 3 mm 5 0 hd samoled 13mp af 5mp front flash 8gb memory ,Rp  1955000
19,new samsung galaxy s 6 edge bnib ,mohon untuk baca paham catat lapak laku beli transaksi online garansi 1 tahun kondisi segel baru 100 baru gress segel bnib segel dalam box one year warranty indonesi kondisi baru bayar cicil 12bulan dua cara 1 guna kartu kredit 2 guna kredivo kredivo mirip adira kreditplus guna kredivo ilik kartu kredit kunjung website kredivo untuk informasi lebihlanjut cara laku cicil layan kredivo single sim lengkap ori segel brand new baru non kw replika cara cek barang kw replika pas barang datang langsung reset factory klo perlu hard reset ntar jamin langsung mbali setel palsu technology gsm hspa lte launch announced 2015 march status available released 2015 april body mensions 142 1 x 70 1 x 7 mm 5 59 x 2 76 x 0 28 in weight 132 g 4 66 oz build corning gorilla glass 4 back panel sim nano sim samsung pay visa mastercard certified display type super amoled capacitive touchscreen 16m colors size 5 1 inches 71 7 screen to body ratio resolution 1440 x 2560 pixels 577 ppi pixel density multitouch yes protection corning gorilla glass 4 touchwiz ui curved edge screen platform os android os v5 0 2 lollipop upgradable to v6 0 1 marshmallow chipset exynos 7420 octa cpu octa core 4x2 1 ghz cortex a57 amp amp amp amp amp amp amp amp amp amp amp amp amp amp amp amp amp amp amp 4x1 5 ghz cortex a53 gpu mali t760mp8 memory card slot no internal 32 64 128 gb 3 gb ram camera primary 16 mp f 1 9 28mm ois autofocus led flash check quality features 1 2 6 sensor size 1 12 m pixel size geo tagging touch focus face detection auto hdr panorama video 2160p 30fps 1080p 60fps 720p 120fps hdr dual video rec check quality secondary 5 mp f 1 9 22mm 1440p 30fps dual video call auto hdr sound alert types vibration mp3 wav ringtones loudspeaker yes 3 5mm jack yes 24 bit 192khz audio active noise cancellation with dedicated mic comms wlan wi fi 802 11 a b g n ac dual band wi fi direct hotspot bluetooth v4 1 a2dp le aptx gps yes with a gps glonass bds nfc yes infrared port yes radio no usb microusb v2 0 usb host features sensors fingerprint front mounted accelerometer gyro proximity compass barometer heart rate spo2 ssaging sms threaded view mms email push mail im browser html5 java no qi pma wireless charging market dependent ant support s voice natural language commands and ctation onedrive 115 gb cloud storage mp4 divx xvid wmv h 264 player mp3 wav wma eaac flac player photo video editor document editor battery non removable li ion 2600 mah battery talk time up to 18 h 3g music play up to 50 h misc colors white pearl black sapphire gold platinum green emerald sar us 1 58 w kg head 1 34 w kg body sar eu 0 33 w kg head 0 59 w kg body price group 8 10 ,Rp  5800000
