12,kamera slr canon eos 600d ,jual cepat murah cod only cod only mcd buar jak tim kfc pangkal jati sekitar mall cipinang mm bekasi kl cod canon eos 600d ef s 18 135 is kit lengkap kamera canon eos 600d ef s 18 135 is kit kondisi msh mulus jrg paka pas pergi2 luar neger akai 4 tahun krg lbh lengkap 1 body amp lensa 2 batera 3 tas 4 charger 5 tutup lensa 7 kabel usb rp 6 000 000 nego manusia ,Rp 6000000
13,kamera slr cannon kiss gital x ,kamera bekas jual fitur fungsi charger bateray minat bonus lensa focal panjang ,Rp 1750000
14,kamera pro canon eos 1ds ,wts kamera profesional canon eos 1ds utama kualitas gambar detail kondisi fungsi normal ngga cacat baret wajar akibat akai baret kena tangan sm flash shoe akibat gese flash lengkap kamera charger ori 2 batre ori dua kondisi normal strap non ori body caps garansi ngga tau darimana anggap aja non ds jual seharga 9jt nego wajar bonus lensa manual canon fl 50mm f1 2 kondisi seada oprek eos hasil msh bagus mohon anya harga nett dll jelas bakal ngga jawab minat langsung aju tawar via telp brkl cocok timbang agung kurniaw lokasi jember jawa timurrek bcaan agung kurniaw untuk rekomendasi cek a rel nofollow noopener noreferrer target _blank href https www bukalapak com ap l http bursa fotografer net rekomendasi php id 80183 http bursa fotografer net rekomendasi php id 80183 a a rel nofollow noopener noreferrer target _blank href https www bukalapak com ap l http www facebook com agung96 http www facebook com agung96 a ,Rp 9000000
15,canon slr 600d ,kondisi camera jarang paka dus cd assesoris lengkap ,Rp 5000000
16,canon dslr 1100d ,barang komplit ,Rp 3200000
17,canon eos 70d kit 18 55 is stm kamera slr canon eos 70 d kit is stm ,baru original 100 garansi 2 tahun bonus memory 16gb class 10 tas filter lensa anti gores lcd untuk jaga barang aman packing nya paka bubble wrap dus plastik anti air isi box ef s18 55mm f 3 5 5 6 is stm eos 70d body eyecup eb body cap battery charger lc e6e battery pack lp e6 interface cable wide strap ew eos70d features 20 2 gapixels aps c dual pixel cmos af sensor digic 5 image processor iso 100 12 800 expandable to 25 600 19 points cross type af system and 7fps shooting intelligent viewfinder 3 0 vari angle clear view lcd ii touch screen wifi ,Rp 16780000
18,free canon eos 750d kit 18 55mm is0,asus profesional p2430ua wo082t ci3 6006u 2 0ghz ram 4gb win 10 ,asus profesional p2430ua wo082t spesifikasi processor ci3 6006u 2 0ghz ram 4gb hdd 500gb vga intel hd520 layar 14 os win 10 dvd rw cam bluetooth beli puya lebih design baru asus jamin mantaff 100 brand new in the box garansi resmi 3 tahun ima cod delivery untuk daerah jakarta harga murah toko mall lengkap unit laptop charger buku padu kartu garansi dus fullset ,Rp 5875000

1,promo asus rog fx502vm dm613t gtx1060 3gb 1tb 128gb ssd ram 16gb ci7 7700hq ,asus rog fx502vm dm613t spesifikasi ci7 7700hq 2 8 3 2ghz 16gb 1tb 128gb ssd nvidia gtx1060 3gb 15 6 fhd win10 dvd rw cam bluetooth beli puya lebih design baru asus jamin mantaff 100 brand new in the box garansi resmi 2 tahun ima cod delivery untuk daerah jakarta free bag pak harga murah toko mall lengkap unit laptop charger buku padu kartu garansi dus fullset ,Rp 20099000

